"","Date Time","Water Level","Water Temperature"
"1",2019-03-11 13:00:00,NA,5.552
"2",2019-03-11 13:10:00,NA,5.244
"3",2019-03-11 13:20:00,NA,5.037
"4",2019-03-11 13:30:00,NA,4.623
"5",2019-03-11 13:40:00,NA,4.415
"6",2019-03-11 13:50:00,NA,4.311
"7",2019-03-11 14:00:00,NA,5.347
"8",2019-03-11 14:10:00,NA,5.037
"9",2019-03-11 14:20:00,NA,4.207
"10",2019-03-11 14:30:00,NA,3.683
"11",2019-03-11 14:40:00,NA,3.367
"12",2019-03-11 14:50:00,NA,3.155
"13",2019-03-11 15:00:00,NA,3.049
"14",2019-03-11 15:10:00,NA,2.943
"15",2019-03-11 15:20:00,NA,2.837
"16",2019-03-11 15:30:00,NA,2.837
"17",2019-03-11 15:40:00,NA,2.837
"18",2019-03-11 15:50:00,NA,2.837
"19",2019-03-11 16:00:00,NA,2.837
"20",2019-03-11 16:10:00,NA,2.837
"21",2019-03-11 16:20:00,NA,2.837
"22",2019-03-11 16:30:00,NA,2.837
"23",2019-03-11 16:40:00,NA,2.837
"24",2019-03-11 16:50:00,NA,2.837
"25",2019-03-11 17:00:00,NA,2.837
"26",2019-03-11 17:10:00,NA,2.837
"27",2019-03-11 17:20:00,NA,2.837
"28",2019-03-11 17:30:00,NA,2.837
"29",2019-03-11 17:40:00,NA,2.837
"30",2019-03-11 17:50:00,NA,2.837
"31",2019-03-11 18:00:00,NA,2.837
"32",2019-03-11 18:10:00,NA,2.837
"33",2019-03-11 18:20:00,NA,2.837
"34",2019-03-11 18:30:00,NA,2.837
"35",2019-03-11 18:40:00,NA,2.837
"36",2019-03-11 18:50:00,NA,2.837
"37",2019-03-11 19:00:00,NA,2.837
"38",2019-03-11 19:10:00,NA,2.837
"39",2019-03-11 19:20:00,NA,2.837
"40",2019-03-11 19:30:00,NA,2.837
"41",2019-03-11 19:40:00,NA,2.837
"42",2019-03-11 19:50:00,NA,2.837
"43",2019-03-11 20:00:00,NA,2.837
"44",2019-03-11 20:10:00,NA,2.837
"45",2019-03-11 20:20:00,NA,2.837
"46",2019-03-11 20:30:00,NA,2.837
